NodeIndex,x,y,velocity
367,0.554752946,0.151761371,9.047369151
368,0.516890139,0.177129749,9.037317865
369,0.500511175,0.246073218,9.021600779
370,0.475704751,0.306768339,9.014448302
371,0.44204482,0.363365278,9.01063599
372,0.43478566,0.435634478,9.008716861
373,0.42873043,0.504240515,9.008214684
374,0.422372623,0.572769754,9.008902499
375,0.842105263,0.008106274,8.327284937
376,0.771931801,0.01796066,9.284001887
377,0.739727794,0.031189326,9.282015259
378,0.807023834,0.017913765,9.281643476
379,0.912280702,0.0,0.0
380,0.877192982,0.008072776,8.314743605
381,0.947368421,0.0,0.0
382,0.360046952,0.779602803,9.026881462
383,0.391658173,0.821048948,9.040367603
384,0.393133659,0.705790205,9.015921055
385,0.485004415,0.904499283,9.08989939
386,0.456980084,0.878315186,9.068399474
387,0.425512558,0.842710862,9.048656627
388,0.5225664,0.899738097,9.084569012
389,0.543232365,0.928092579,9.117207576
390,0.562243774,0.953141719,9.171729701
391,0.626655959,0.969916788,9.262354003
392,0.598462704,0.954394728,9.175465117
393,0.807017544,1.0,0.0
394,0.666663817,0.982614761,9.266220659
395,0.662132643,0.969810234,9.261945439
396,0.736842105,0.992118323,8.42643106
397,0.701755642,0.982622194,9.264596697
398,0.771929825,0.992129958,8.422123094
399,0.676037885,0.074662159,9.117396109
400,0.731786145,0.04757433,9.176629229
401,0.71147094,0.067470496,9.130356548
402,0.668913493,0.120412646,9.0696536
403,0.631262005,0.148928296,9.051558629
404,0.594526552,0.172360519,9.040844818
405,0.422861858,0.641174636,9.011372188
406,0.561139902,0.225041637,9.025479756
407,0.534659011,0.294206195,9.015972714
408,0.507836764,0.351829086,9.011869726
409,0.472480222,0.599737379,9.01037094
410,0.492832474,0.410283631,9.009947962
411,0.48593493,0.475185321,9.009075843
412,0.478092442,0.53769722,9.009148379
413,0.842112869,0.017833802,9.277144273
414,0.775501771,0.030959868,9.280905188
415,0.767297835,0.046720325,9.178899159
416,0.810012624,0.03102498,9.276934102
417,0.912280702,0.008057904,8.311416022
418,0.877198374,0.017760108,9.273438197
419,0.98245614,0.0,0.0
420,0.947368421,0.008066154,8.320560464
421,0.426462073,0.772697684,9.026623636
422,0.451454709,0.700347616,9.01602471
