 x,y,velocity
1.626092412,0.068432337,9.125792303
1.687308874,0.030454819,9.228290349
1.719304486,0.017798733,9.229186085
1.681252058,0.045873888,9.164385345
1.722955054,0.030453337,9.226134215
1.754406194,0.017756134,9.224395694
1.195909111,0.94985023,9.156997111
1.173923846,0.92115265,9.110489081
1.151455166,0.887088328,9.077886783
1.25810563,0.96949628,9.224110899
1.263146929,0.982361019,9.220025541
1.233478322,0.949615355,9.15603004
1.146210438,0.792372456,9.035668161
1.167708896,0.839587529,9.052072457
1.295035714,0.969161516,9.222757422
1.298235372,0.982267321,9.219412373
1.147459359,0.736297926,9.023420271
1.125058727,0.672961587,9.016266737
1.216881743,0.440132823,9.012450841
1.196095947,0.502232418,9.012189066
1.160177064,0.61409239,9.013565691
1.200336845,0.585078329,9.013020383
1.212851071,0.552320275,9.012528076
1.307760076,0.305781652,9.018026924
1.289088536,0.361189582,9.014424655
1.272097858,0.417483651,9.012844459
1.380554023,0.220534812,9.033325842
1.362761073,0.284221995,9.021018085
1.552563915,0.100102007,9.093297772
1.514541773,0.121711032,9.076914187
1.470890898,0.15368757,9.057830987
1.43137377,0.185578321,9.044090077
1.583466112,0.120212973,9.079305333
1.623914451,0.099702349,9.094874735
1.661136839,0.074637704,9.116683981
1.716418581,0.04573798,9.164798203
1.697397358,0.06803971,9.125743861
1.758801505,0.030333857,9.224694923
1.789514489,0.017520191,9.213517832
1.747808797,0.048403441,9.159774776
1.793323271,0.028097251,9.22227735
1.824622589,0.017081766,9.193573191
1.832453106,0.030852697,9.212727174
1.859723358,0.016429772,9.163382224
1.874823349,0.03031671,9.202953189
1.894806001,0.015625542,9.128314363
1.214513752,0.921405768,9.110960179
1.192894619,0.886608847,9.077531245
1.267682474,0.952703419,9.163852394
1.247609912,0.929119772,9.119907074
